"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 15 00:55:53 CET 2023","Wed Feb 15 00:55:57 CET 2023","3990","N2","","","","","/ProductOffering?fields=name",""
"passed","Wed Feb 15 00:56:21 CET 2023","Wed Feb 15 00:56:25 CET 2023","4004","N1","","","","","/ProductOfferingPrice",""
"passed","Wed Feb 15 00:56:17 CET 2023","Wed Feb 15 00:56:21 CET 2023","3743","N1","","","","","/ProductOfferingPrice",""
"passed","Wed Feb 15 00:56:45 CET 2023","Wed Feb 15 00:56:49 CET 2023","4009","N2","","","","","/ProductOfferingPrice?lastUpdate={{LASTUPDATEPOP01}}",""
"passed","Wed Feb 15 00:56:37 CET 2023","Wed Feb 15 00:56:41 CET 2023","3756","N2","","","","","/ProductOfferingPrice?id={{IDPOP01}}",""
"passed","Wed Feb 15 00:55:30 CET 2023","Wed Feb 15 00:55:34 CET 2023","3997","N2","","","","","/ProductOffering?fields=id",""
"passed","Wed Feb 15 00:56:25 CET 2023","Wed Feb 15 00:56:29 CET 2023","3991","N1","","","","","/ProductOfferingPrice/{{IDPOP01}}",""
"passed","Wed Feb 15 00:56:01 CET 2023","Wed Feb 15 00:56:05 CET 2023","3997","N2","","","","","/ProductOffering/{{IDPO01}}",""
"passed","Wed Feb 15 00:55:10 CET 2023","Wed Feb 15 00:55:14 CET 2023","3996","E1","","","","","/ProductSpecification/404ID",""
"passed","Wed Feb 15 00:55:22 CET 2023","Wed Feb 15 00:55:26 CET 2023","3996","N1","","","","","/ProductOffering/{{IDPO01}}",""
"passed","Wed Feb 15 00:57:24 CET 2023","Wed Feb 15 00:57:28 CET 2023","3997","E1","","","","","/ProductOfferingPrice/404ID",""
"passed","Wed Feb 15 00:54:54 CET 2023","Wed Feb 15 00:54:58 CET 2023","3992","N2","","","","","/ProductSpecification?fields=lifecycleStatus",""
"passed","Wed Feb 15 00:55:14 CET 2023","Wed Feb 15 00:55:18 CET 2023","3998","N1","","","","","/ProductOffering",""
"passed","Wed Feb 15 00:56:29 CET 2023","Wed Feb 15 00:56:33 CET 2023","3997","N2","","","","","/ProductOfferingPrice?fields=href",""
"passed","Wed Feb 15 00:55:46 CET 2023","Wed Feb 15 00:55:50 CET 2023","3987","N2","","","","","/ProductOffering?fields=lifecycleStatus",""
"passed","Wed Feb 15 00:57:13 CET 2023","Wed Feb 15 00:57:16 CET 2023","3562","N2","","","","","/ProductOfferingPrice/{{IDPOP01}}",""
"passed","Wed Feb 15 00:56:41 CET 2023","Wed Feb 15 00:56:45 CET 2023","3986","N2","","","","","/ProductOfferingPrice?fields=lastUpdate",""
"passed","Wed Feb 15 00:54:38 CET 2023","Wed Feb 15 00:54:42 CET 2023","3997","N2","","","","","/ProductSpecification?fields=id",""
"passed","Wed Feb 15 00:55:57 CET 2023","Wed Feb 15 00:56:01 CET 2023","4006","N2","","","","","/ProductOffering?name={{NAMEPO01}}",""
"passed","Wed Feb 15 00:54:50 CET 2023","Wed Feb 15 00:54:54 CET 2023","4001","N2","","","","","/ProductSpecification?lastUpdate={{LASTUPDATEPS01}}",""
"passed","Wed Feb 15 00:56:33 CET 2023","Wed Feb 15 00:56:37 CET 2023","3993","N2","","","","","/ProductOfferingPrice?fields=id",""
"passed","Wed Feb 15 00:54:34 CET 2023","Wed Feb 15 00:54:38 CET 2023","3985","N2","","","","","/ProductSpecification?fields=href",""
"passed","Wed Feb 15 00:54:22 CET 2023","Wed Feb 15 00:54:26 CET 2023","3820","N1","","","","","/ProductSpecification",""
"passed","Wed Feb 15 00:55:26 CET 2023","Wed Feb 15 00:55:30 CET 2023","3988","N2","","","","","/ProductOffering?fields=href",""
"passed","Wed Feb 15 00:56:53 CET 2023","Wed Feb 15 00:56:57 CET 2023","4000","N2","","","","","/ProductOfferingPrice?lifecycleStatus={{LIFECYCLESTATUSPOP01}}",""
"passed","Wed Feb 15 00:55:42 CET 2023","Wed Feb 15 00:55:46 CET 2023","4004","N2","","","","","/ProductOffering?lastUpdate={{LASTUPDATEPO01}}",""
"passed","Wed Feb 15 00:55:18 CET 2023","Wed Feb 15 00:55:22 CET 2023","4000","N1","","","","","/ProductOffering",""
"passed","Wed Feb 15 00:55:34 CET 2023","Wed Feb 15 00:55:38 CET 2023","4006","N2","","","","","/ProductOffering?id={{IDPO01}}",""
"passed","Wed Feb 15 00:54:26 CET 2023","Wed Feb 15 00:54:30 CET 2023","3609","N1","","","","","/ProductSpecification",""
"passed","Wed Feb 15 00:57:05 CET 2023","Wed Feb 15 00:57:09 CET 2023","3992","N2","","","","","/ProductOfferingPrice?fields=priceType",""
"passed","Wed Feb 15 00:57:16 CET 2023","Wed Feb 15 00:57:20 CET 2023","3931","N2","","","","","/ProductOfferingPrice/{{IDPOP01}}",""
"passed","Wed Feb 15 00:56:57 CET 2023","Wed Feb 15 00:57:01 CET 2023","3992","N2","","","","","/ProductOfferingPrice?fields=name",""
"passed","Wed Feb 15 00:54:58 CET 2023","Wed Feb 15 00:55:02 CET 2023","4004","N2","","","","","/ProductSpecification?lifecycleStatus={{LIFECYCLESTATUSPS01}}",""
"passed","Wed Feb 15 00:56:49 CET 2023","Wed Feb 15 00:56:53 CET 2023","3992","N2","","","","","/ProductOfferingPrice?fields=lifecycleStatus",""
"passed","Wed Feb 15 00:54:46 CET 2023","Wed Feb 15 00:54:50 CET 2023","3988","N2","","","","","/ProductSpecification?fields=lastUpdate",""
"passed","Wed Feb 15 00:56:13 CET 2023","Wed Feb 15 00:56:17 CET 2023","3997","E1","","","","","/ProductOffering/404ID",""
"passed","Wed Feb 15 00:55:38 CET 2023","Wed Feb 15 00:55:42 CET 2023","3987","N2","","","","","/ProductOffering?fields=lastUpdate",""
"passed","Wed Feb 15 00:57:09 CET 2023","Wed Feb 15 00:57:13 CET 2023","4004","N2","","","","","/ProductOfferingPrice?priceType={{PRICETYPEPOP01}}",""
"passed","Wed Feb 15 00:55:02 CET 2023","Wed Feb 15 00:55:06 CET 2023","3987","N2","","","","","/ProductSpecification?fields=name",""
"passed","Wed Feb 15 00:54:30 CET 2023","Wed Feb 15 00:54:34 CET 2023","3997","N1","","","","","/ProductSpecification/{{IDPS01}}",""
"passed","Wed Feb 15 00:56:05 CET 2023","Wed Feb 15 00:56:09 CET 2023","3991","N2","","","","","/ProductOffering/{{IDPO01}}",""
"passed","Wed Feb 15 00:57:01 CET 2023","Wed Feb 15 00:57:05 CET 2023","4001","N2","","","","","/ProductOfferingPrice?name={{NAMEPOP01}}",""
"passed","Wed Feb 15 00:55:06 CET 2023","Wed Feb 15 00:55:10 CET 2023","4001","N2","","","","","/ProductSpecification?name={{NAMEPS01}}",""
"passed","Wed Feb 15 00:56:09 CET 2023","Wed Feb 15 00:56:13 CET 2023","4000","N2","","","","","{{Product_Catalog}}productOffering/{{IDPO01}}",""
"passed","Wed Feb 15 00:55:50 CET 2023","Wed Feb 15 00:55:53 CET 2023","3753","N2","","","","","/ProductOffering?lifecycleStatus={{LIFECYCLESTATUSPO01}}",""
"passed","Wed Feb 15 00:54:42 CET 2023","Wed Feb 15 00:54:46 CET 2023","4005","N2","","","","","/ProductSpecification?id={{IDPS01}}",""
"passed","Wed Feb 15 00:57:20 CET 2023","Wed Feb 15 00:57:24 CET 2023","3996","N2","","","","","/ProductOfferingPrice/{{IDPOP01}}",""
